ID_SONDE;ID_DOSSIER;ALTITUDE_MIN;ALTITUDE_MAX;DIMENSION;FLUIDE;ETAT;DETERMINATION_PLANIMETRIQUE;REMARQUES;E;N
;DD 102130;0.0;0.0;Diamètre 32mm Profondeur 160m;Inconnu;En service;Imprécis;Pas de plan d'execution;2505700.43;1124148.22
;DD 101973;0.0;426.3;Profondeur 140m;Inconnu;En service;Imprécis;Pas de plan d'execution;2504694.73;1121782.42
;DD 101973;0.0;427.1;Profondeur 140m;Inconnu;En service;Imprécis;Pas de plan d'execution;2504710.24;1121773.15
11547;0;0.0;0.0;Profondeur = 54 m;Inconnu;;;Objet non répertorié dans le cad. technique lors du transfert à la DCMO. Récupéré du SCG, dossier n° 11547. Reporté en 2000;2504824.40;1122475.24
11979;0;0.0;0.0;Profondeur = 100 m;Inconnu;;;Objet non répertorié dans le cad. technique lors du transfert à la DCMO. Récupéré du SCG, dossier n° 11979. Reporté en 2002;2508899.43;1119300.08
;DD 100376;0.0;381.0;Diamètre 4x32mm Profondeur 160m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2506169.83;1125861.15
;DD 100376;0.0;381.0;Diamètre 4x32mm Profondeur 160m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2506175.57;1125862.87
;DD 100376;0.0;381.0;Diamètre 4x32mm Profondeur 160m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2506181.34;1125864.63
;DD 100376;0.0;381.0;Diamètre 4x32mm Profondeur 160m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2506160.03;1125852.02
;DD 100376;0.0;381.0;Diamètre 4x32mm Profondeur 160m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2506165.81;1125853.70
;DD 100376;0.0;381.0;Diamètre 4x32mm Profondeur 160m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2506171.59;1125855.33
;DD 100376;0.0;381.0;Diamètre 4x32mm Profondeur 160m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2506177.32;1125857.05
;DD 100376;0.0;381.0;Diamètre 4x32mm Profondeur 160m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2506183.06;1125858.68
;DD 104951;235.0;435.0;;Inconnu;En service;Précis;Augsburger (A11872);2494195.45;1119985.33
;DD 104951;235.0;435.0;;Inconnu;En service;Précis;Augsburger (A11872);2494201.47;1119990.76
;DD 104951;235.0;435.0;;Inconnu;En service;Précis;Augsburger (A11872);2494153.76;1120015.49
;DD 104951;235.0;435.0;;Inconnu;En service;Précis;Augsburger (A11872);2494169.23;1120010.20
;DD 104951;235.0;435.0;;Inconnu;En service;Précis;Augsburger (A11872);2494195.84;1119966.91
;DD 104951;235.0;435.0;;Inconnu;En service;Précis;Augsburger (A11872);2494202.00;1119980.39
1;APA28680;390.0;240.0;Profondeur 150m;Inconnu;En service;Précis;;2507093.54;1126846.29
2;APA28680;390.0;240.0;Profondeur 150m;Inconnu;En service;Précis;;2507092.94;1126837.77
3;APA28680;390.0;240.0;Profondeur 150m;Inconnu;En service;Précis;;2507086.46;1126831.94
4;APA28680;390.0;240.0;Profondeur 150m;Inconnu;En service;Précis;;2507079.49;1126826.90
5;APA28680;390.0;240.0;Profondeur 150m;Inconnu;En service;Précis;;2507071.45;1126823.48
;DD 100704;263.0;463.0;Diamètre 40mm Profondeur 200m;Glycol / Alcoll 30 %;En service;Imprécis;coordonnées au mètre;2503356.39;1119632.16
;DD 100704;263.0;463.0;Diamètre 40mm Profondeur 200m;Glycol / Alcoll 30 %;En service;Imprécis;coordonnées au mètre;2503362.39;1119639.16
;DD 100704;263.0;463.0;Diamètre 40mm Profondeur 200m;Glycol / Alcoll 30 %;En service;Imprécis;coordonnées au mètre;2503361.39;1119627.16
;DD 100704;263.0;463.0;Diamètre 40mm Profondeur 200m;Glycol / Alcoll 30 %;En service;Imprécis;coordonnées au mètre;2503366.39;1119634.16
;DD 100704;263.0;463.0;Diamètre 40mm Profondeur 200m;Glycol / Alcoll 30 %;En service;Imprécis;coordonnées au mètre;2503373.39;1119644.16
;DD 100704;263.0;463.0;Diamètre 40mm Profondeur 200m;Glycol / Alcoll 30 %;En service;Imprécis;coordonnées au mètre;2503372.39;1119626.16
;DD 100704;263.0;463.0;Diamètre 40mm Profondeur 200m;Glycol / Alcoll 30 %;En service;Imprécis;coordonnées au mètre;2503376.39;1119633.16
;DD 100704;263.0;463.0;Diamètre 40mm Profondeur 200m;Glycol / Alcoll 30 %;En service;Imprécis;coordonnées au mètre;2503382.39;1119642.16
;DD 100704;263.0;463.0;Diamètre 40mm Profondeur 200m;Glycol / Alcoll 30 %;En service;Imprécis;coordonnées au mètre;2503381.39;1119648.16
;DD100275;478.8;298.8;Profondeur 180m Diamètre 32mm;Inconnu;En service;Imprécis;;2509496.81;1119106.56
;DD100275;478.8;298.8;Profondeur 180m Diamètre 32mm;Inconnu;En service;Imprécis;;2509502.01;1119109.54
;DD100275;478.8;298.8;Profondeur 180m Diamètre 32mm;Inconnu;En service;Imprécis;;2509507.22;1119112.82
;DD 100448;0.0;378.0;Diamètre 4x40mm Profondeur 220m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2503896.64;1121262.03
;DD 100448;0.0;378.0;Diamètre 4x40mm Profondeur 220m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2503895.47;1121255.25
;DD 100448;0.0;378.0;Diamètre 4x40mm Profondeur 220m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2503894.24;1121248.47
;DD 101954;420.0;232.0;Diamètre 40mm;Inconnu;En service;Imprécis;;2493708.24;1120340.23
;DD 101954;420.0;203.0;Diamètre 40mm;Inconnu;En service;Imprécis;;2493702.22;1120346.25
;DD 101818;126.0;426.0;;Inconnu;En service;Précis;;2494163.03;1119356.10
;DD 101818;126.0;426.0;;Inconnu;En service;Précis;;2494157.47;1119350.24
;DD 101818;126.0;426.0;;Inconnu;En service;Précis;;2494146.05;1119338.72
;DD 101818;126.0;426.0;;Inconnu;En service;Précis;;2494140.29;1119332.96
;DD 101818;126.0;426.0;;Inconnu;En service;Précis;;2494128.98;1119321.45
;DD 101818;126.0;426.0;;Inconnu;En service;Précis;;2494123.53;1119316.00
;DD 100448;0.0;378.0;Diamètre 4x40mm Profondeur 220m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2503893.04;1121241.69
;DD 100801;;383.0;Diamètre 4x32mm Profondeur 150m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2501378.70;1124071.37
;DD 100801;;383.0;Diamètre 4x32mm Profondeur 150m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2501373.56;1124074.46
;DD 100801;;383.0;Diamètre 4x32mm Profondeur 150m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2501368.42;1124077.56
;DD 100801;;383.0;Diamètre 4x32mm Profondeur 150m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2501365.33;1124072.42
;DD 100801;;383.0;Diamètre 4x32mm Profondeur 150m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2501370.47;1124069.33
;DD 100801;;383.0;Diamètre 4x32mm Profondeur 150m;Inconnu;En service;Imprécis;Selon plan d'implantation scanné;2501375.61;1124066.23
;APA 25417;;420.0;Diamètre 4x32mm Profondeur 160m;Autre;En service;Précis;;2498328.20;1116233.37
;APA 28191;;400.0;diamètre 4x40mm Profondeur 200m;Inconnu;En service;Imprécis;;2497304.73;1115018.25
;APA 28191;;400.0;diamètre 4x40mm Profondeur 200m;Inconnu;En service;Imprécis;;2497303.38;1115024.21
;DD 101518;;436.0;Diamètre 32mm Profondeur 152m;Inconnu;En service;Imprécis;Selon plan d'implatation;2504645.71;1121485.40
;DD 101518;;436.0;Diamètre 32mm Profondeur 152m;Inconnu;En service;Imprécis;Selon plan d'implatation;2504640.92;1121479.00
;DD 101015;;461.0;Diamètre 32mm Profondeur 170m;Inconnu;En service;Imprécis;Selon plan d'implatation;2504612.08;1120921.15
;DD 101015;;461.0;Diamètre 32mm Profondeur 170m;Inconnu;En service;Imprécis;Selon plan d'implatation;2504611.58;1120921.18
;DD 100682;0.0;455.0;Diamètre 32mm Profondeur 100m;Inconnu;En service;Imprécis;Selon plan d'implatation;2504856.08;1119922.13
;DD 100682;0.0;455.0;Diamètre 32mm Profondeur 100m;Inconnu;En service;Imprécis;Selon plan d'implatation;2504860.16;1119917.60
;APA 26168;0.0;404.0;Diamètre 32mm Profondeur119m;Autre;En service;Imprécis;Selon plan scanné;2504981.41;1123528.25
;APA 26168;0.0;404.0;Diamètre 32mm Profondeur125m;Autre;En service;Imprécis;Selon plan scanné;2504976.73;1123524.22
;APA 26168;0.0;404.0;Diamètre 32mm Profondeur 65m;Autre;En service;Imprécis;Selon plan scanné;2504969.13;1123510.48
;APA 26168;0.0;404.0;Diamètre 32mm Profondeur 59m;Autre;En service;Imprécis;Selon plan scanné;2504966.44;1123505.33
;APA 26168;0.0;404.0;Diamètre 32mm Profondeur 113m;Autre;En service;Imprécis;Selon plan scanné;2504968.19;1123499.66
